i,sect,over_sati_with,comp_with_whic,comp_inte_with,trus_exte_of,prof_exte_of,bran_bran_outl,comp_exte_of,ease_of_doin,proc_and_proc,cust_focu_inno,enga_with_cust,orde_of_impo,orde_of_impo_1,orde_of_impo_2,orde_of_impo_3,orde_of_impo_4,orde_of_impo_5,orde_of_impo_6,orde_of_impo_7,impr_on_cust,pref_of_serv,sati_diss,like_to_reco,mean_of_inte,chan_of_inte,gend,ag,regi,high_educ,inco,nati,awar_of_surv,company_id,impr_on_cust_sentiment,nps_category,age_category,income_category
27112,1,1.0,"OPAY BANK,",OPAY BANK,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,0.5,0.125,0.75,0.375,0.875,0.625,0.25,Satisfactory,7,7,10,Digital Channels,"Affiliate platform ,",Female,40 - 49,Abuja,"Masters, Professorial, Doctorate, Professional Certification","N100,000 - N150,000",Nigerian,NI202555,COMP_01081,POSITIVE,promoter,Experienced Professionals,Lower-Middle Income
27121,1,0.8571428571428571,"OPAY BANK,",OPAY BANK,0.8571428571428571,1.0,0.8571428571428571,1.0,0.7142857142857143,1.0,1.0,0.7142857142857143,0.875,1.0,0.25,0.125,0.375,0.75,0.625,0.5,Very good,4,7,10,Digital Channels,"Mobile App,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,EO202597,COMP_01081,POSITIVE,promoter,Mid-Level Professionals,Lower-Middle Income
27199,1,1.0,"OPAY BANK,",OPAY BANK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.375,0.125,0.25,0.5,0.75,0.625,0.875,Good service,5,7,10,Digital Channels,"Mobile App,",Female,40 - 49,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N300,000 - N500,000",Nigerian,PA202792,COMP_01081,POSITIVE,promoter,Experienced Professionals,Middle-High Income
27209,1,0.8571428571428571,"OPAY BANK,",OPAY BANK,0.8571428571428571,1.0,0.7142857142857143,1.0,0.8571428571428571,1.0,1.0,0.7142857142857143,0.875,1.0,0.125,0.375,0.5,0.75,0.625,0.25,Very good,4,7,9,Digital Channels,"Mobile App,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,EO202597,COMP_01081,POSITIVE,promoter,Mid-Level Professionals,Lower-Middle Income
27243,1,0.8571428571428571,"OPAY BANK,",OPAY BANK,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,0.7142857142857143,0.875,1.0,0.125,0.5,0.25,0.75,0.625,0.375,Great,4,7,10,Digital Channels,"Mobile App,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N100,000 - N150,000",Nigerian,EO202597,COMP_01081,POSITIVE,promoter,Mid-Level Professionals,Lower-Middle Income
27291,1,1.0,"OPAY BANK,",OPAY BANK,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,0.625,0.375,0.75,0.25,0.875,0.5,0.125,Satisfactory,7,7,10,Digital Channels,"Text/Over the Phone,Affiliate platform ,",Female,40 - 49,Abuja,"Masters, Professorial, Doctorate, Professional Certification","N100,000 - N150,000",Nigerian,NI202555,COMP_01081,POSITIVE,promoter,Experienced Professionals,Lower-Middle Income
27305,1,0.8571428571428571,"OPAY BANK,",OPAY BANK,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.125,1.0,0.25,0.75,0.375,0.5,0.875,0.625,Good,4,6,10,Digital Channels,"Text/Over the Phone,",Male,25 - 29,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N200,000 - N300,000",Nigerian,WA202537,COMP_01081,POSITIVE,promoter,Early Career,Middle-High Income
22098,7,0.8571428571428571,"Jiji,",JIJI,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.75,1.0,0.125,0.25,0.375,0.5,0.625,0.875,I am impressed with there swift response and delivery the exact thing you order,5,5,8,Digital Channels,"Mobile App,Website,Social Media,Email,",Female,25 - 29,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Unemployed/No Earning As At Now,Nigerian,"From Friend, Colleague/Family",COMP_00733,POSITIVE,passive,Early Career,No Income / Not Earning
22099,2,0.7142857142857143,"MOBILE TELECOMMUNICATIONS NETWORK (MTN) ,",MOBILE TELECOMMUNICATIONS NETWORK (MTN),0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.5,0.125,0.25,0.375,0.625,0.75,0.875,Low network coverage,6,5,7,Digital Channels,"Mobile App,Text/Over the Phone,",Female,30 - 34,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,09AF024,COMP_00916,NEGATIVE,passive,Mid-Level Professionals,Middle-High Income
22100,6,0.8571428571428571,"EKO ELECTRICITY DISTRIBUTION COMPANY [EKEDC],",EKO ELECTRICITY DISTRIBUTION COMPANY [EKEDC],0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.5,0.125,0.25,0.375,0.625,0.75,0.875,The power supply has been excellent recently,6,5,8,Digital Channels,"Mobile App,Text/Over the Phone,",Female,30 - 34,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,09AF024,COMP_00398,POSITIVE,passive,Mid-Level Professionals,Middle-High Income
