company_id,comp_inte_with,sect,sector_name
COMP_00044,AFRIEX,1,BANKING
COMP_00045,AFRIGLOBAL MEDICARE,4,HEALTHCARE
COMP_00046,AFRIMASH,7,E-COMMERCE
COMP_00047,AFRINVEST,1,BANKING
COMP_00048,AGBOJU HEALTH CENTER,4,HEALTHCARE
COMP_00049,AGODI GARDENS,9,HOSPITALITY
COMP_00050,AGOFUURE MOTORS,5,TRANSPORTATION
COMP_00051,AHMADU BELLO UNIVERSITY TEACHING HOSPITAL,4,HEALTHCARE
COMP_00052,"AHMADU BELLO UNIVERSITY, ZARIA [ABU]",633,EDUCATION
COMP_00053,AHMED MUSA LOUNGE KD,9,HOSPITALITY
COMP_00054,AIICO INSURANCE [AIICO],3,INSURANCE
COMP_00055,"AIR FORCE HOSPITAL, JOS",4,HEALTHCARE
COMP_00056,AIR FRANCE,5,TRANSPORTATION
COMP_00057,AIR PEACE,5,TRANSPORTATION
COMP_00058,AIRTEL,2,TELECOMMUNICATIONS
COMP_00059,AIYETORO MEDICAL,4,HEALTHCARE
COMP_00060,AJAYI CROWTHER UNIVERSITY [ACU],633,EDUCATION
COMP_00061,AKK HOTEL LOKOJA,9,HOSPITALITY
COMP_00062,AKWA IBOM ELECTRICITY DISTRIBUTION COMPANY,6,POWER
COMP_00063,AKWA IBOM STATE POLYTECHNIC,633,EDUCATION
COMP_00064,AKWA IBOM STATE UNIVERSITY [AKSU],633,EDUCATION
COMP_00065,AKWA IBOM TRANSPORT COMPANY,5,TRANSPORTATION
COMP_00066,AL-MUNIFF HOSPITAL KADUNA,4,HEALTHCARE
COMP_00067,ALBINA MEJEEL SPECIALIST HOSPITAL IBA OJO LAGOS,4,HEALTHCARE
COMP_00068,ALIBABA,7,E-COMMERCE
COMP_00069,ALIEXPRESS,7,E-COMMERCE
COMP_00070,ALIFORT HOSPITAL,4,HEALTHCARE
COMP_00071,ALIMOSHO GENERAL HOSPITAL,4,HEALTHCARE
COMP_00072,ALIYYAH HOTELS,9,HOSPITALITY
COMP_00073,ALL PUBLIC UNIVERSITIES,633,EDUCATION
COMP_00074,ALL SEASONS HOTEL OWERRI,9,HOSPITALITY
COMP_00075,ALL SOULS HOSPITAL,4,HEALTHCARE
COMP_00076,ALLIANCE HOSPITAL ABUJA,4,HEALTHCARE
COMP_00077,ALLIANZ HMO [ALLIANZ],3,INSURANCE
COMP_00078,ALLSTATE EXPRESS TRANSPORT CO. LTD,5,TRANSPORTATION
COMP_00079,ALPHA CLINIC,4,HEALTHCARE
COMP_00080,ALPHA GAME AND RESORT,9,HOSPITALITY
COMP_00081,ALPHA NOBIS,632,REAL ESTATE
COMP_00082,AM BAKERY AND RESTAURANTS,9,HOSPITALITY
COMP_00083,AMADHIA,4,HEALTHCARE
COMP_00084,AMALA SKY,9,HOSPITALITY
COMP_00085,AMALA TAX OFFICE,9,HOSPITALITY
COMP_00086,AMALA TIWA N TIWA,9,HOSPITALITY
COMP_00087,AMALA TSQUARE,9,HOSPITALITY
COMP_00088,AMAZON HOTEL,9,HOSPITALITY
COMP_00089,AMAZON KAYAK ABUJA,9,HOSPITALITY
COMP_00090,AMAZONIA RESTAURANT,9,HOSPITALITY
COMP_00091,AMBER RESIDENT,9,HOSPITALITY
COMP_00092,AMBROSE ALLI UNIVERSITY [AAU],633,EDUCATION
COMP_00093,AMEOSA MOTORS,5,TRANSPORTATION
COMP_00094,AMERICAN UNIVERSITY OF NIGERIA [AUN],633,EDUCATION
COMP_00095,AMINA HOSPITAL,4,HEALTHCARE
COMP_00096,AMINU KANO TEACHING HOSPITAL,4,HEALTHCARE
COMP_00097,AMOKE OGE,9,HOSPITALITY
COMP_00098,ANCHOR HMO [ANCHOR],3,INSURANCE
COMP_00099,ANCHOR UNIVERSITY,633,EDUCATION
COMP_00100,ANCILLIA CATHOLIC EYE CENTER,4,HEALTHCARE
COMP_00101,ANGEL HOSPITAL,4,HEALTHCARE
COMP_00102,ANIYUN HOSPITAL,4,HEALTHCARE
COMP_00103,ANNABREEZE,9,HOSPITALITY
COMP_00104,APEX APARTMENTS,9,HOSPITALITY
COMP_00105,APPLES,9,HOSPITALITY
COMP_00106,"APRIL HOSPITAL, PORT HARCOURT",4,HEALTHCARE
COMP_00107,APT,3,INSURANCE
COMP_00108,ARIK AIR,5,TRANSPORTATION
COMP_00109,ARM INSURANCE [ARM],3,INSURANCE
COMP_00110,ARM INVESTMENT,1,BANKING
COMP_00111,ARM PENSION,3,INSURANCE
COMP_00112,ASABANA BAR,9,HOSPITALITY
COMP_00113,ASHMED SPECIALIST HOSPITAL KADUNA,4,HEALTHCARE
COMP_00114,ASOS,7,E-COMMERCE
COMP_00115,AT PATRICK ENUGU,4,HEALTHCARE
COMP_00116,ATICAN BEACH & RESORT,9,HOSPITALITY
COMP_00117,ATLANTIS PEADETRIC HOSPITAL,4,HEALTHCARE
COMP_00118,ATM NIGERIA LIMITED,5,TRANSPORTATION
COMP_00119,AUCHI POLYTECHNIC [AUCHI POLY],633,EDUCATION
COMP_00120,AUGUSTINE OKONKWO,632,REAL ESTATE
COMP_00121,AUTO STAR GROUP,5,TRANSPORTATION
COMP_00122,AVENUE,9,HOSPITALITY
COMP_00123,AVON HMO,3,INSURANCE
COMP_00124,AVON HOSPITAL,4,HEALTHCARE
COMP_00125,AXA HMO [AXA],3,INSURANCE
COMP_00126,AXA MANSARD [AXA],3,INSURANCE
COMP_00127,AYAURA HOSPITAL,4,HEALTHCARE
COMP_00128,AYODELE MEDICAL CENTER,4,HEALTHCARE
COMP_00129,AZMAN AIR,5,TRANSPORTATION
COMP_00130,B LOUNGE,9,HOSPITALITY
COMP_00131,BABCOCK UNIVERSITY,633,EDUCATION
COMP_00132,BABZ LOUNGE,9,HOSPITALITY
COMP_00133,BADAGRY GENERAL HOSPITAL,4,HEALTHCARE
COMP_00134,BAFRA INTERNATIONAL HOTEL LIMITED KADUNA,9,HOSPITALITY
COMP_00135,BAKER HOME,632,REAL ESTATE
COMP_00136,BAMBOO INVEST,1,BANKING
COMP_00137,BAR,9,HOSPITALITY
COMP_00138,BARAU DIKKO SPECIALIST HOSPITAL KADUNA,4,HEALTHCARE
COMP_00139,BARI PHARMACY,4,HEALTHCARE
COMP_00140,BARNAWA PARADISE PARK,9,HOSPITALITY
COMP_00141,BARO DIKKO KADUNA,4,HEALTHCARE
COMP_00142,BARPAC HOTEL BENUE,9,HOSPITALITY
COMP_00143,BASE HOSPITAL,4,HEALTHCARE
COMP_00144,BASKETBALL,634,SPORTS/ ENTERTAINMENT
COMP_00145,BASTION HMO,3,INSURANCE
COMP_00146,BAUCHI TO JOS AIRPORT [JOS],5,TRANSPORTATION
COMP_00147,BAXI,1,BANKING
COMP_00148,"BAYERO UNIVERSITY, KANO [BUK]",633,EDUCATION
COMP_00149,BAYVIEW SHORTLET,9,HOSPITALITY
COMP_00150,"BAZE UNIVERSITY, ABUJA [BAZE]",633,EDUCATION
COMP_00151,BEACHLAND SPECIALIST HOSPITAL,4,HEALTHCARE
COMP_00152,BEACON DIAGNOSTICS,4,HEALTHCARE
COMP_00153,BEACONS,9,HOSPITALITY
COMP_00154,BELLS UNIVERSITY OF TECHNOLOGY [BUT],633,EDUCATION
COMP_00155,BENI GOLD HOTEL,9,HOSPITALITY
COMP_00156,"BENI GOLD HOTEL AND APARTMENTS, VICTORIA ISLAND, LAGOS",9,HOSPITALITY
COMP_00157,BENIN ELECTRICITY DISTRIBUTION COMPANY [BEEDC],6,POWER
COMP_00158,BENSON IDAHOSA UNIVERSITY [BIU],633,EDUCATION
COMP_00159,BENUE LINKS,5,TRANSPORTATION
COMP_00160,BENUE STATE UNIVERSITY [BSU],633,EDUCATION
COMP_00161,BERNICE SPECIALIST HOSPITAL,4,HEALTHCARE
COMP_00162,BET88U LIMITED (BET88U),634,SPORTS/ ENTERTAINMENT
COMP_00163,BET9JA LIMITED (BET9JA),634,SPORTS/ ENTERTAINMENT
COMP_00164,BETADEY STORES,9,HOSPITALITY
COMP_00165,BETANO LIMITED (BETANO),634,SPORTS/ ENTERTAINMENT
COMP_00166,BETBONANZA LIMITED (BET BONANZA),634,SPORTS/ ENTERTAINMENT
COMP_00167,BETWAY LIMITED (BETWAY),634,SPORTS/ ENTERTAINMENT
COMP_00168,BEX WESTERN,9,HOSPITALITY
COMP_00169,BIBA HOSPITAL KADUNA,4,HEALTHCARE
COMP_00170,BIDEMS VICTORY HOSPITAL,4,HEALTHCARE
COMP_00171,BIG JOE VENTURES,5,TRANSPORTATION
COMP_00172,BINEZ HOTEL,9,HOSPITALITY
COMP_00173,BINGHAM UNIVERSITY,633,EDUCATION
COMP_00174,BINGHAM UNIVERSITY TEACHING HOSPITAL,4,HEALTHCARE
COMP_00175,BISHOP SHANAHAN HOSPITAL,4,HEALTHCARE
COMP_00176,BISMO HOSPITAL,4,HEALTHCARE
COMP_00177,BITMARTE Z&R NIGERIA,7,E-COMMERCE
COMP_00178,BLACK BERRY,9,HOSPITALITY
COMP_00179,BLACKBELL RESTAURANT,9,HOSPITALITY
COMP_00180,BLACKTWELVE CLOTHING,7,E-COMMERCE
COMP_00181,BLESSED ASSURANCE,4,HEALTHCARE
COMP_00182,BLESSING HOSPITAL,4,HEALTHCARE
COMP_00183,BLUE CROSS HOSPITAL,4,HEALTHCARE
COMP_00184,BLUE HOUSE HOSPITAL,4,HEALTHCARE
COMP_00185,BLUE LIME HOSPITAL,4,HEALTHCARE
COMP_00186,BLUE LINE,5,TRANSPORTATION
COMP_00187,BLUE RESORT,9,HOSPITALITY
COMP_00188,BLUEMOOL,632,REAL ESTATE
COMP_00189,BOAT,5,TRANSPORTATION
COMP_00190,BOKKU!,7,E-COMMERCE
COMP_00191,BOLT,5,TRANSPORTATION
COMP_00192,BON HOTEL,9,HOSPITALITY
COMP_00193,BON HOTEL OCTAGON ABUJA,9,HOSPITALITY
COMP_00194,"BON HOTEL, WARRI",9,HOSPITALITY
COMP_00195,BONNY DELIGHT AGRO FARMS,7,E-COMMERCE
COMP_00196,BONNYWAY MOTORS,5,TRANSPORTATION
COMP_00197,BORNO EXPRESS,5,TRANSPORTATION
COMP_00198,BORNO STATE UNIVERSITY,633,EDUCATION
COMP_00199,BOWEN UNIVERSITY [BU],633,EDUCATION
COMP_00200,BRANCH,1,BANKING
COMP_00201,BRAVANO LOUNGE AND BAR,9,HOSPITALITY
COMP_00202,BRIDGE PARK AND EVENTS,9,HOSPITALITY
COMP_00203,BRIGHTERLIFE HOSPITAL,4,HEALTHCARE
COMP_00204,"BRIGHTON HOTEL, IBADAN",9,HOSPITALITY
COMP_00205,BRILL REALITY LIMITED,632,REAL ESTATE
COMP_00206,BRISK,9,HOSPITALITY
COMP_00207,BROADBASED COMMUNICATIONS,2,TELECOMMUNICATIONS
COMP_00208,BSUTH MAKURDI,4,HEALTHCARE
COMP_00209,BUA ESTATE,632,REAL ESTATE
COMP_00210,BUCHYMIX,7,E-COMMERCE
COMP_00211,BUKKA HUT,9,HOSPITALITY
COMP_00212,BUKKA SWALLOW,9,HOSPITALITY
COMP_00213,BURGER KING,9,HOSPITALITY
COMP_00214,BUS,5,TRANSPORTATION
COMP_00215,BUS RAPID TRANSIT [BRT],5,TRANSPORTATION
COMP_00216,BUTH,4,HEALTHCARE
COMP_00217,BUY AND MOVE IN LIMITED,632,REAL ESTATE
COMP_00218,BUYBETTER,7,E-COMMERCE
COMP_00219,BUYPOWER,6,POWER
COMP_00220,BWSTARFIRE HOTEL,9,HOSPITALITY
COMP_00221,CAB/ MICRA,5,TRANSPORTATION
COMP_00222,CABS,5,TRANSPORTATION
COMP_00223,CAFE CHRYSALIS,9,HOSPITALITY
COMP_00224,CALABAR REAL ESTATE AGENTS,632,REAL ESTATE
COMP_00225,CALTON SWISS,9,HOSPITALITY
COMP_00226,CAMEROONIAN CONSULATE ABUJA,8,PUBLIC SECTOR
COMP_00227,CANDY CRUSH,634,SPORTS/ ENTERTAINMENT
COMP_00228,CAPADOCIA,9,HOSPITALITY
COMP_00229,CAPITOL HILL,4,HEALTHCARE
COMP_00230,CAPTAIN COOKS,9,HOSPITALITY
COMP_00231,CARBON BANK,1,BANKING
COMP_00232,CARITAS UNIVERSITY,633,EDUCATION
COMP_00233,CAROLINE BAR,9,HOSPITALITY
COMP_00234,CARS 45,7,E-COMMERCE
COMP_00235,CASA MEXICANA,9,HOSPITALITY
COMP_00236,CBN,8,PUBLIC SECTOR
COMP_00237,CDCARE,7,E-COMMERCE
COMP_00238,"CEC HOTEL, UNN",9,HOSPITALITY
COMP_00239,CEDAR CARE HOSPITAL,4,HEALTHCARE
COMP_00240,CEDARCREST HOSPITAL,4,HEALTHCARE
COMP_00241,CENTENARY PARK,9,HOSPITALITY
COMP_00242,CENTRAL HOSPITAL SAPELE,4,HEALTHCARE
COMP_00243,CHARRISA,9,HOSPITALITY
COMP_00244,"CHECKIN HOTEL, IBADAN",9,HOSPITALITY
COMP_00245,CHEVRON HOSPITAL,4,HEALTHCARE
COMP_00246,CHEVYS,9,HOSPITALITY
COMP_00247,CHICKEN CHANGE RESTAURANT KADUNA,9,HOSPITALITY
COMP_00248,CHICKEN REPUBLICAN,9,HOSPITALITY
COMP_00249,CHILDCARE AND WELLNESS CLINICS,4,HEALTHCARE
COMP_00250,CHIMEX HOSPITAL,4,HEALTHCARE
COMP_00251,CHISCO TRANSPORT LTD.,5,TRANSPORTATION
COMP_00252,CHITIS RESTAURANT,9,HOSPITALITY
COMP_00253,CHIZOBA HOSPITAL,4,HEALTHCARE
COMP_00254,CHOWDECK,7,E-COMMERCE
COMP_00255,CHRISTER SPECIALIST DIAGNOSTICS,4,HEALTHCARE
COMP_00256,"CHUJAH HOTEL, AFIKPO",9,HOSPITALITY
COMP_00257,CHUKWUBUIKEM MOTORS,5,TRANSPORTATION
COMP_00258,CHUKWUEMEKA ODUMEGWU OJUKWU UNIVERSITY,633,EDUCATION
COMP_00259,CHUKWUNONSO HOSPITAL AND MATERNITY NANKA,4,HEALTHCARE
COMP_00260,CIE POWER DISTRIBUTION,6,POWER
COMP_00261,CITEC ESTATE MBORA,632,REAL ESTATE
COMP_00262,CITY BAY PARK BENUE,9,HOSPITALITY
COMP_00263,CITY CLINICS ENUGU,4,HEALTHCARE
COMP_00264,CITY MART,9,HOSPITALITY
COMP_00265,CITY OF HOPE,4,HEALTHCARE
COMP_00266,CITY STAR GOMBE,9,HOSPITALITY
COMP_00267,CITY VIEW GUEST HOUSE AND LOUNGE,9,HOSPITALITY
COMP_00268,"CIVIL SERVICE HOSPITAL, ILORIN",4,HEALTHCARE
COMP_00269,CLAY POT EATERY,9,HOSPITALITY
COMP_00270,CLEARLINE HMO,3,INSURANCE
COMP_00271,CLEVA,1,BANKING
COMP_00272,CLINIX HEALTHCARE LTD,4,HEALTHCARE
COMP_00273,CLOUD9,9,HOSPITALITY
COMP_00274,CLOUD9 PROPERTIES,632,REAL ESTATE
COMP_00275,COCOS,9,HOSPITALITY
COMP_00276,CODE ONE,9,HOSPITALITY
COMP_00277,COLDSTONE ICECREAM,9,HOSPITALITY
COMP_00278,"COLLEGE OF AGRICULTURE AND TECHNOLOGY, IGBOORA",633,EDUCATION
COMP_00279,COLLEGE OF EDUCATION ZUBA,633,EDUCATION
COMP_00280,COMMERCIAL VEHICLES,5,TRANSPORTATION
COMP_00281,CONSOLIDATED HALLMARK,3,INSURANCE
COMP_00282,COOUTH ANAMBRA,4,HEALTHCARE
COMP_00283,COPORATE AFFAIRS COMM (CAC),8,PUBLIC SECTOR
COMP_00284,CORNERSTONE INSURANCE [CORNERSTONE],3,INSURANCE
COMP_00285,CORONATION INSURANCE PLC [CORONATION],3,INSURANCE
COMP_00286,COTTAGE HOSPITAL GIRIE,4,HEALTHCARE
COMP_00287,COUNTRY KITCHEN,9,HOSPITALITY
COMP_00288,COUNTY HOSPITAL,4,HEALTHCARE
COMP_00289,COVENANT UNIVERSITY [CU],633,EDUCATION
COMP_00290,COWRYWISE,1,BANKING
COMP_00291,CRAVINGS,9,HOSPITALITY
COMP_00292,CRAWFORD UNIVERSITY [CU],633,EDUCATION
COMP_00293,CREEK MEDICAL CONSULTANT,4,HEALTHCARE
COMP_00294,CREST HOSPITAL,4,HEALTHCARE
COMP_00295,CREST HOTEL,9,HOSPITALITY
COMP_00296,CRIBZ,632,REAL ESTATE
COMP_00297,CRISPAN LUXURY APARTMENTS,9,HOSPITALITY
COMP_00298,CRISPAN SUITE & EVENT JOS,9,HOSPITALITY
COMP_00299,CROSS LINE TRANSPORT LTD,5,TRANSPORTATION
COMP_00300,CROSS RIVER UNIVERSITY OF TECHNOLOGY [CRUTECH],633,EDUCATION
COMP_00301,CROSS WORD PUZZLES,634,SPORTS/ ENTERTAINMENT
COMP_00302,CROWN HOSPITAL,4,HEALTHCARE
COMP_00303,CRUNCHES,9,HOSPITALITY
COMP_00304,CRUSADER PENSION [CRUSADER],3,INSURANCE
COMP_00305,CRYSTAL SPECIALIST HOSPITAL,4,HEALTHCARE
COMP_00306,CUMI,4,HEALTHCARE
COMP_00307,CUSTODIAN INSURANCE [CUSTODIAN],3,INSURANCE
COMP_00308,CWAY FOOD AND BEVERAGES,7,E-COMMERCE
COMP_00309,D BASE LOUNGE,9,HOSPITALITY
COMP_00310,D&G COLLECTION,7,E-COMMERCE
COMP_00311,DADOR PERFUMES,7,E-COMMERCE
COMP_00312,DAFE HOSPITAL/CLINIC KETU IKOSI LAGOS,4,HEALTHCARE
COMP_00313,DAILY MOTORS NIGERIA LIMITED,5,TRANSPORTATION
COMP_00314,DALOBI HOTEL AWKA,9,HOSPITALITY
COMP_00315,DAMISA HOSPITAL,4,HEALTHCARE
COMP_00316,DANA AIR,5,TRANSPORTATION
COMP_00317,DANDATEC,632,REAL ESTATE
COMP_00318,DANDU WURO HAUSA,6,POWER
COMP_00319,DARUM,5,TRANSPORTATION
COMP_00320,"DAUGHTERS OF CHARITY HOSPITAL, KUBWA, ABUJA.",4,HEALTHCARE
COMP_00321,DAVORT HOTEL,9,HOSPITALITY
COMP_00322,"DE BAHBIS FIRST HEALTHCARE LTD, KUBWA ABUJA",4,HEALTHCARE
COMP_00323,DE BEACONS,9,HOSPITALITY
COMP_00324,DE DON SUPERMARKET,9,HOSPITALITY
COMP_00325,DE DREAMS GARDEN PARK,9,HOSPITALITY
COMP_00326,DE MARY'S HOSPITAL,4,HEALTHCARE
COMP_00327,DE ROCA HOSPITAL,4,HEALTHCARE
COMP_00328,DE WINDOWS LOUNGE,9,HOSPITALITY
COMP_00329,DE YARD PICKNIC,9,HOSPITALITY
COMP_00330,DEALDAY,7,E-COMMERCE
COMP_00331,DEBEN REAL ESTATE,632,REAL ESTATE
COMP_00332,DEDA HOSPITAL,4,HEALTHCARE
COMP_00333,DELAKELAD,4,HEALTHCARE
COMP_00334,DELICIA,9,HOSPITALITY
COMP_00335,DELIKINGS MULTIPLE CONCEPTS LIMITED,5,TRANSPORTATION
COMP_00336,DELTA EXPRESS,5,TRANSPORTATION
COMP_00337,DELTA LINE,5,TRANSPORTATION
COMP_00338,"DELTA STATE UNIVERSITY, ABRAKA [DELSU]",633,EDUCATION
COMP_00339,DESTINY HOTELS,9,HOSPITALITY
COMP_00340,DETOPSY ELECTRICAL SHOP,7,E-COMMERCE
COMP_00341,DEVOT,9,HOSPITALITY
COMP_00342,DFO MEDICAL CLINIC,4,HEALTHCARE
COMP_00343,DHABI AND PARTNERS NIGERIA LTD,632,REAL ESTATE
COMP_00344,DIFF MEDICAL CENTER,4,HEALTHCARE
COMP_00345,DISNEY CHICKEN,9,HOSPITALITY
COMP_00346,DISNEY PARK KADUNA,9,HOSPITALITY
COMP_00347,DISPATCH RIDERS HUB,5,TRANSPORTATION
COMP_00348,DIVA CAKES,9,HOSPITALITY
COMP_00349,DIVINE HOSPITAL,4,HEALTHCARE
COMP_00350,DOGON LOLI HOTEL MINNA,9,HOSPITALITY
COMP_00351,DOMAIN REAL ESTATE,632,REAL ESTATE
COMP_00352,DOMINIC COUTURE,7,E-COMMERCE
COMP_00353,DOMINO'S PIZZA,9,HOSPITALITY
COMP_00354,DONKAY HOTEL GOMBE,9,HOSPITALITY
COMP_00355,DOREN SPECIALIST HOSPITAL,4,HEALTHCARE
COMP_00356,DORIS DEY,9,HOSPITALITY
COMP_00357,DORNIER AVIATION,5,TRANSPORTATION
COMP_00358,DOUBLE K HOTEL BENUE,9,HOSPITALITY
COMP_00359,DOUBLE KING,632,REAL ESTATE
COMP_00360,DOVA HOTELS,9,HOSPITALITY
COMP_00361,DOVE HOSPITAL,4,HEALTHCARE
COMP_00362,"DOXA PARK, ABUJA",9,HOSPITALITY
COMP_00363,DREAMDREW PROPERTIES LIMITED,632,REAL ESTATE
COMP_00364,DUCHESS HOSPITAL,4,HEALTHCARE
COMP_00365,DUENO,632,REAL ESTATE
COMP_00366,DUKES NEUROSURGERY AND SPECIALIST HOSPITAL,4,HEALTHCARE
COMP_00367,DUKIYA INVESTMENT,632,REAL ESTATE
COMP_00368,DYNAMO ADS,632,REAL ESTATE
COMP_00369,EAGLE LINE,5,TRANSPORTATION
COMP_00370,EAGLES HMO,3,INSURANCE
COMP_00371,EASEMONI,1,BANKING
COMP_00372,EASTERN MASS TRANSIT LTD,5,TRANSPORTATION
COMP_00373,EASYBUY,1,BANKING
COMP_00374,EBANOBET,634,SPORTS/ ENTERTAINMENT
COMP_00375,EBONY LIFE PLACE,9,HOSPITALITY
COMP_00376,EBONYI STATE UNIVERSITY [EBSU],633,EDUCATION
COMP_00377,EBONYLIFE STUDIOS,9,HOSPITALITY
COMP_00378,ECHO LAB,4,HEALTHCARE
COMP_00379,ECLIPSE KUBWA,9,HOSPITALITY
COMP_00380,ECO CENTER,9,HOSPITALITY
COMP_00381,ECOBANK,1,BANKING
COMP_00382,ECOFLOW NIGERIA,7,E-COMMERCE
COMP_00383,ECOGROVE REALITY,632,REAL ESTATE
COMP_00384,ECOWAS PROFESSIONAL CERTIFICATION IN CUSTOMER SERVICE & VIRTUAL ASSISTANCE WAACSP,633,EDUCATION
COMP_00385,EDDYSON TRANSPORT,5,TRANSPORTATION
COMP_00386,EDIN AND PEOPLE,632,REAL ESTATE
COMP_00387,EDO CITY TRANSPORT SERVICE [ECTS],5,TRANSPORTATION
COMP_00388,EDO SPECIALIST HOSPITAL,4,HEALTHCARE
COMP_00389,"EDWIN CLARK UNIVERSITY, DELTA STATE [ECU]",633,EDUCATION
COMP_00390,EE & PERTNERS,632,REAL ESTATE
COMP_00391,EFCC,8,PUBLIC SECTOR
COMP_00392,EFEX EXECUTIVE,5,TRANSPORTATION
COMP_00393,EGOBEKEE_1,7,E-COMMERCE
COMP_00394,EJA MEMORIAL JOINT HOSPITAL ITIGIDI,4,HEALTHCARE
COMP_00395,EJIREONIGARRI,7,E-COMMERCE
COMP_00396,EKESONS TRANSPORT,5,TRANSPORTATION
COMP_00397,EKITI STATE UNIVERSITY [EKSU],633,EDUCATION
COMP_00398,EKO ELECTRICITY DISTRIBUTION COMPANY [EKEDC],6,POWER
COMP_00399,"EKO HOSPITAL, LAGOS",4,HEALTHCARE
COMP_00400,EKO HOTELS,9,HOSPITALITY
COMP_00401,EL BABRA HOTELS,9,HOSPITALITY
COMP_00402,EL-COMFORT HOSPITAL,4,HEALTHCARE
COMP_00403,EL-LAB RESEARCH AND DIAGNOSTIC CENTRE,4,HEALTHCARE
COMP_00404,ELEGUSHI BEACH,9,HOSPITALITY
COMP_00405,ELEKO BEACH,9,HOSPITALITY
COMP_00406,EMIRATES,5,TRANSPORTATION
COMP_00407,EMPLOY ME E-LEARNING,633,EDUCATION
COMP_00408,ENOMA HOSPITAL,4,HEALTHCARE
COMP_00409,ENTRACO ENUGU STATE TRANSPORT COMPANY,5,TRANSPORTATION
COMP_00410,ENUGU ELECTRICITY DISTRIBUTION COMPANY [EEDC],6,POWER
COMP_00411,"ENUGU STATE COLLEGE OF EDUCATION, TECHNICAL",633,EDUCATION
COMP_00412,ENUGU STATE UNIVERSITIY OF SCIENCE AND TECHNOLOGY [ESUT],633,EDUCATION
COMP_00413,"ENUGU STATE UNIVERSITY TEACHING HOSPITAL,PARKLANE.",4,HEALTHCARE
COMP_00414,ENVIRONMENT HEALTH SECTOR,8,PUBLIC SECTOR
COMP_00415,"EPE RESORT & SPA, LAGOS",9,HOSPITALITY
COMP_00416,EPITOME HOTEL,9,HOSPITALITY
COMP_00417,ESTREAM NETWORKS,2,TELECOMMUNICATIONS
COMP_00418,ESUT SHUTTLE,5,TRANSPORTATION
COMP_00419,ETERNAL LIFE HOSPITAL LAGOS,4,HEALTHCARE
COMP_00420,ETHIOPIAN AIRLINES,5,TRANSPORTATION
COMP_00421,EVERCARE HOSPITAL,4,HEALTHCARE
