company_id,sector,overall_cx_score
COMP_00564,4,34.52380952380952
COMP_00565,9,74.42680776014109
COMP_00566,9,49.2063492063492
COMP_00567,4,57.14285714285714
COMP_00568,7,67.46031746031747
COMP_00569,5,35.71428571428571
COMP_00570,9,100.0
COMP_00571,4,71.42857142857143
COMP_00572,2,61.45014640160271
COMP_00573,7,70.50264550264549
COMP_00573,9,39.28571428571428
COMP_00574,5,50.396825396825385
COMP_00575,1,0.0
COMP_00576,5,75.0
COMP_00577,5,85.11904761904762
COMP_00578,5,73.11056998556998
COMP_00579,5,69.84126984126983
COMP_00580,633,77.57936507936509
COMP_00581,9,79.36507936507937
COMP_00582,9,57.53968253968253
COMP_00583,9,75.79365079365078
COMP_00584,9,100.0
COMP_00585,9,52.77777777777778
COMP_00586,9,81.74603174603173
COMP_00587,5,70.17195767195766
COMP_00588,633,58.78684807256236
COMP_00589,4,74.6031746031746
COMP_00590,5,35.81349206349206
COMP_00591,5,68.25396825396825
COMP_00592,4,59.92063492063491
COMP_00593,9,79.36507936507935
COMP_00594,8,62.3015873015873
COMP_00595,4,71.42857142857142
COMP_00596,4,31.48148148148148
COMP_00597,632,71.42857142857143
COMP_00598,9,57.14285714285714
COMP_00599,5,69.2063492063492
COMP_00600,4,82.14285714285714
COMP_00601,9,83.33333333333333
COMP_00602,9,74.4047619047619
COMP_00603,3,71.56084656084656
COMP_00604,633,71.42857142857143
COMP_00605,633,79.1005291005291
COMP_00606,9,73.33333333333333
COMP_00607,9,76.78571428571426
COMP_00608,7,100.0
COMP_00609,632,85.7142857142857
COMP_00610,1,0.0
COMP_00611,5,73.42767295597484
COMP_00612,632,86.5079365079365
COMP_00613,7,99.20634920634922
COMP_00614,7,85.71428571428574
COMP_00615,4,40.47619047619047
COMP_00616,3,33.65079365079365
COMP_00617,9,93.65079365079366
COMP_00618,3,20.634920634920633
COMP_00619,7,85.71428571428572
COMP_00620,9,57.14285714285713
COMP_00621,4,87.30158730158729
COMP_00622,9,85.3174603174603
COMP_00623,9,88.4920634920635
COMP_00624,4,74.20634920634922
COMP_00625,4,60.714285714285715
COMP_00626,4,73.01587301587301
COMP_00627,632,70.23809523809524
COMP_00628,3,72.6190476190476
COMP_00629,4,80.95238095238095
COMP_00630,4,71.03174603174602
COMP_00631,4,33.333333333333336
COMP_00632,8,16.26984126984127
COMP_00633,4,92.85714285714285
COMP_00634,4,53.57142857142857
COMP_00635,3,67.8743961352657
COMP_00636,1,0.0
COMP_00637,9,94.84126984126983
COMP_00638,632,58.333333333333336
COMP_00639,4,71.03174603174604
COMP_00640,633,71.42857142857143
COMP_00641,4,63.6904761904762
COMP_00642,9,100.0
COMP_00643,632,94.24603174603173
COMP_00644,4,81.74603174603173
COMP_00645,1,0.0
COMP_00646,9,84.52380952380952
COMP_00647,9,81.34920634920634
COMP_00648,9,52.777777777777764
COMP_00649,9,92.92328042328043
COMP_00650,9,78.17460317460318
COMP_00651,9,76.9047619047619
COMP_00652,9,87.6984126984127
COMP_00653,632,14.285714285714285
COMP_00654,632,98.8095238095238
COMP_00655,3,69.35626102292768
COMP_00656,7,73.4126984126984
COMP_00657,9,88.88888888888887
COMP_00658,9,76.98412698412697
COMP_00659,9,87.6984126984127
COMP_00660,4,72.61904761904762
COMP_00661,5,40.07936507936508
COMP_00662,6,52.37484737484738
COMP_00663,4,83.33333333333333
COMP_00664,9,42.85714285714285
COMP_00665,9,79.56349206349205
COMP_00666,5,75.15151515151516
COMP_00667,4,84.52380952380952
COMP_00668,633,79.89417989417989
COMP_00669,5,80.55555555555556
COMP_00670,7,19.047619047619047
COMP_00671,4,68.25396825396825
COMP_00672,4,20.634920634920636
COMP_00673,4,72.22222222222221
COMP_00674,4,78.17460317460318
COMP_00675,633,71.42857142857143
COMP_00676,9,39.68253968253968
COMP_00677,3,67.7579365079365
COMP_00678,1,0.0
COMP_00679,4,90.74074074074075
COMP_00680,9,84.52380952380952
COMP_00681,6,55.98212703475861
COMP_00682,4,66.26984126984127
COMP_00683,9,83.13492063492065
COMP_00684,9,85.7142857142857
COMP_00685,9,74.20634920634922
COMP_00686,9,86.11111111111111
COMP_00687,9,58.73015873015873
COMP_00688,634,42.85714285714284
COMP_00689,9,85.7142857142857
COMP_00690,4,34.92063492063491
COMP_00691,633,84.52380952380953
COMP_00692,633,35.866910866910864
COMP_00693,5,85.7142857142857
COMP_00694,9,74.6031746031746
COMP_00695,5,42.85714285714286
COMP_00696,7,39.68253968253967
COMP_00697,5,64.12440314879339
COMP_00698,3,65.09920634920634
COMP_00699,8,35.317460317460316
COMP_00700,8,38.62433862433861
COMP_00701,5,98.61111111111111
COMP_00702,4,69.04761904761905
COMP_00703,7,79.28571428571428
COMP_00704,633,73.8095238095238
COMP_00705,633,91.26984126984125
COMP_00706,9,96.82539682539682
COMP_00707,632,24.603174603174597
COMP_00708,9,99.20634920634922
COMP_00709,7,100.0
COMP_00710,3,84.12698412698413
COMP_00711,1,0.0
COMP_00712,4,70.23809523809523
COMP_00713,1,0.0
COMP_00714,2,74.76190476190476
COMP_00715,5,83.92857142857142
COMP_00716,1,0.0
COMP_00717,4,73.2142857142857
COMP_00718,4,59.32539682539683
COMP_00719,6,60.71428571428571
COMP_00720,4,49.57837301587301
COMP_00721,632,98.8095238095238
COMP_00722,9,83.08913308913309
COMP_00723,9,95.23809523809523
COMP_00724,9,98.8095238095238
COMP_00725,7,89.28571428571428
COMP_00726,5,60.069444444444436
COMP_00727,632,100.0
COMP_00728,9,43.65079365079364
COMP_00729,4,55.95238095238095
COMP_00730,1,0.0
COMP_00731,4,71.03174603174602
COMP_00732,8,31.48148148148148
COMP_00733,7,85.7142857142857
COMP_00734,9,37.10317460317459
COMP_00735,5,97.22222222222223
COMP_00736,9,94.04761904761904
COMP_00737,5,91.86507936507935
COMP_00738,4,61.111111111111114
COMP_00739,4,53.174603174603156
COMP_00740,632,100.0
COMP_00741,633,97.61904761904763
COMP_00742,7,66.4975279729378
COMP_00743,9,98.8095238095238
COMP_00744,4,100.0
COMP_00745,9,57.14285714285713
COMP_00746,9,61.85515873015873
COMP_00747,4,87.6984126984127
COMP_00748,4,85.31746031746032
COMP_00749,6,61.3302534944326
COMP_00750,4,59.52380952380952
COMP_00751,9,61.50793650793651
COMP_00752,633,59.92063492063491
COMP_00753,633,58.99470899470899
COMP_00754,4,94.44444444444444
COMP_00755,632,67.85714285714286
COMP_00756,7,73.90910736918342
COMP_00757,9,100.0
COMP_00758,7,28.96825396825396
COMP_00759,9,85.31746031746032
COMP_00760,4,33.33333333333333
COMP_00761,8,24.206349206349206
COMP_00762,6,53.24074074074074
COMP_00763,5,71.42857142857143
COMP_00764,633,73.21428571428572
COMP_00765,633,70.23809523809523
COMP_00766,8,78.17460317460318
COMP_00767,8,57.14285714285713
COMP_00768,8,65.07936507936508
COMP_00769,633,63.69047619047619
COMP_00770,4,31.349206349206344
COMP_00771,8,22.023809523809522
COMP_00772,6,55.79975579975579
COMP_00773,5,80.82010582010582
COMP_00774,9,76.48809523809523
COMP_00775,7,77.61904761904762
COMP_00776,633,56.34920634920635
COMP_00777,4,43.650793650793645
COMP_00778,4,28.174603174603174
COMP_00779,7,74.26303854875283
COMP_00780,6,17.857142857142858
COMP_00781,4,31.349206349206344
COMP_00782,4,19.84126984126984
COMP_00783,5,48.148148148148145
COMP_00784,5,29.23280423280423
COMP_00785,5,58.333333333333336
COMP_00786,1,0.0
COMP_00787,9,76.3668430335097
COMP_00788,7,99.20634920634922
COMP_00789,9,71.42857142857143
COMP_00790,7,100.0
COMP_00791,632,100.0
COMP_00792,9,79.19501133786848
COMP_00793,9,74.20634920634922
COMP_00794,4,56.64682539682539
COMP_00795,634,70.62547241118669
COMP_00796,9,65.47619047619047
COMP_00797,5,47.222222222222214
COMP_00798,9,76.98412698412699
